	11
平定	1
２０７票	2
平实	7
中外合资企业	5
革命委员会	1
涉	32
台北队	2
第二	248
独善其身	6
粉煤灰	2
小腿	2
编译	6
平安	29
蝶泳	1
空竹	1
３小时	5
捉住	2
五级	1
俗话	1
科右前旗旗委办公室	1
阿塞拜疆	4
蒋福志	1
一锤子买卖	1
１５６个	2
军委总政治部	1
东莞环球石材集团公司	4
１９４１年９月２５日	1
４０００多对	1
醇厚	3
俗语	2
纸币	17
黄国荣	1
苏库尔	1
舞钢市人大	2
４５微克	1
圣彼得堡冰上芭蕾舞团	1
河	112
倒海翻江	1
东北师范大学政治系	2
追随	6
５０００万双	1
踏步	3
看作	43
４４万公顷	1
缉毒	26
巾帼	22
张翔	3
十一名	1
二十世纪末叶	1
芦根	2
尼安达	8
凳子	2
反	359
零下十多摄氏度	1
绪论	1
大连保税区联合国际贸易公司	1
困境	134
瀛台	2
畅叙	1
须知	8
全国工商联	14
北京百鸟园	3
体院	1
中华职业教育社	2
７公斤	2
霎时	1
看似	25
升起	25
当晚	27
葛翠琳	1
斯科纳	2
应付	51
三三一厂党委	1
世纪	80
彪	1
第五	23
起诉	45
新疆兵团纪委	4
有理有据	2
绛红色	1
麻省	1
盈利	48
郭凯敏	1
小脚	1
二十年代	1
赊账	2
苏格拉底	2
数百年	10
宇拓路	1
至此	48
太原刚玉集团	2
查哨	1
第一	480
九十五岁	1
６个多小时	3
阴谋诡计	1
成都军区	5
徐伯昕	1
二七区	1
中华人民共和国中央军事委员会	5
不景气	44
苏丹港	1
漫画大王	1
应	1253
空空	3
脚法	8
圆月	1
审核	42
沃尔特拉	1
下摆	2
赵毅敏	1
５０００万只	1
信联股份	1
终南山	1
农具	5
２６分	2
坦途	5
截留	12
１９９８年１月１９日	1
菜谱	3
庸俗化	4
公路	217
岗亭	2
全国消费者基金会	1
尼普洛	1
草料	14
安特里姆市	1
去年春上	1
卫生部	59
克服	140
缔造	10
山东黑豹	1
２７７次	1
中国汽车运动联合会	1
编者按	42
辛业江	8
拓殖银行	1
艾奇	1
直拨	2
曾培炎	12
明确	421
战袍	5
１０２７０部	1
五百三	1
五百下	2
徐俊	2
二十余年	4
上海电影制片厂	3
杭	2
战事	7
第九	11
医术	14
１９９９年冬	1
喜怒哀乐	8
二十余幅	1
势力	78
开工	66
１２０页	2
１１０万元	3
五百亿元	1
日本侵华罪行见证团	3
监制	4
４埃镑	2
数以千计	10
９２４万方	1
采煤	3
巨宝公司	3
身段	2
纵横	28
八十五岁	1
挂牵	1
含金量	3
王茂林	3
困难户	7
保罗	6
阿曼	14
看书	9
深圳青年联合会	1
兼顾	17
椒江区见义勇为基金会	1
纸张	9
上	8409
环境日	9
泰国海关总署	1
萧文刚	1
达索公司	1
野地	1
现代艺术博物馆	1
用之不竭	3
中央大学物理系	1
国君	1
胜于	5
诊病	1
机制	486
职能	179
孙家正	2
海监局	2
青年文学	2
投缘	1
批复	8
当朝	1
１５万只	1
份额	62
数百张	1
加州大学	1
沈阳铁路局吉林中心医院	1
工具书	7
枯	14
那化村	1
阻燃	2
繁峙县	5
外壳	5
小聚	1
自下而上	5
后排	1
圣玛丽亚	3
团吉林省委	1
落脚点	4
羿	1
丁祥华	1
为时过早	4
奏效	12
开局	22
进贤县	1
屏风	1
岗位	326
诊疗	7
土拉河	3
祖母	5
看中	13
刘延绶	8
壑	5
南丫岛	2
院劳服公司	1
蜜蜂	7
开展	935
天津市政府外事办公室	1
体面	2
国家大剧院业主委员会	2
后援	1
多疑	3
１９５９年１月	1
郁郁葱葱	6
孤行	1
诉讼法	8
奥运会	95
杀伤	19
３００平方公里至１０００平方公里	1
吴家窑乡	1
关制钧	1
２０００万人次	2
１９时３８分	1
这时候	15
韩国大检察厅	4
重峦叠嶂	1
２万张	1
逃之夭夭	3
９０年代初期	5
开山	3
天津中环电子机电元件公司	1
许名进	1
２０亿埃镑	1
２厘米	1
博野县	1
开路先锋	1
一千五百三十二米	1
贫血	12
机动	31
日本经济同友会中国委员会	1
折桂	2
斯图加特队	2
需求量	16
百米	25
机务	1
国耻	2
河北省供销联社	1
文化大革命	39
明示	1
暴发户	4
高级工程师	23
茗	1
２０００余张	1
中国铁人三项运动协会	1
壶流河	1
密告	1
１９４４年９月	1
飞行员工会	1
加利福尼亚	4
表里山河	1
司马昭	2
兴平市残联	1
虚伪	2
慢条斯理	1
适用性	2
事在人为	1
爱乐女乐团有限公司	1
高低杠	4
锦州师专	1
日本一枚之绘公司	2
住友信托银行	6
出版商	2
求贤若渴	2
日喀则市	2
２２７个	1
气节	17
新老交替	4
寸土	1
其次	103
拂	6
八角楼	2
女团	2
通往	53
克	43
卷子	4
墨西哥外交部	2
羊角	1
菲律宾共和国	2
柏拉图	9
国家科学技术部	2
错话	1
无关宏旨	1
奶茶	4
全军军人保险委员会	1
土耳其每日新闻	1
勘察队	1
人类学	9
国家科技部	1
解放军第四军医大学	1
８００立方米	1
孔洞	3
漆皮	1
赵先春	1
骚动	5
错误	136
今年底	11
煽	2
深圳大中华国际交易广场	1
北纬３０	2
六月十八日	4
王秀华	2
砂矿	1
南段铁十八局	1
房舍	5
悲剧	34
通常	66
缅甸	32
１５篇	1
缓和	43
江苏三毛集团	1
复兴党地区领导机构	2
遮阳	8
轮换	7
５４８７家	1
白云山	1
泰云商贸有限公司	1
集结	4
减薪	5
枯木逢春	1
数百封	1
一百四十个	3
眼见得	1
周冲民	12
１０９路总站	1
云南省体委	2
归来	35
通州	1
６５日元	1
舵手	2
余狱兴	1
涉世不深	2
杨永刚	1
缓坡	1
克莱里季斯	4
汇演	7
公车	10
开张	12
一百四十一	2
经济货币联盟	3
国产化	4
小草	7
典籍	14
发射场	2
披	26
医药卫生工程学部常委会	1
１９２８年秋	1
劳动人民	14
用功	2
剑桥大学	2
阿联邦检察局	1
吃穿	4
头几天	1
桂林高新技术开发区	3
贡嘎机场	1
宏达开发公司	1
执委会	3
世系	1
后悔	25
日照	7
焦续江	1
小算盘	3
